Designator,Mid X,Mid Y,Rotation,Layer
0.1F1,58.91,-34.0375,90.0,bottom
0.1F2,58.94,-42.04,90.0,bottom
1F1,58.97,-46.0575,90.0,bottom
C1,39.48,-53.5875,90.0,bottom
C10,58.94,-50.04,90.0,bottom
C11,58.94,-54.0975,90.0,bottom
C12,39.42,-33.91,90.0,bottom
C13,39.44,-37.89,90.0,bottom
C14,39.46,-41.8575,90.0,bottom
C15,39.44,-45.8375,90.0,bottom
C2,47.52,-37.75,0.0,bottom
C3,51.4,-37.75,0.0,bottom
C4,58.91,-38.06,90.0,bottom
C5,58.98,-58.0075,90.0,bottom
C6,58.96,-61.9725,90.0,bottom
C7,39.46,-49.7575,90.0,bottom
C8,54.54,-42.61,90.0,bottom
C9,54.54,-38.67,270.0,bottom
IC1,55.35,-58.0,90.0,top
IC2,48.83,-45.56,0.0,top
J1,48.7258,-31.66,180.0,top
J2,49.15,-68.6,270.0,top
L1,43.11,-52.78,270.0,bottom
R1,54.45,-45.18,0.0,bottom
R10,59.01,-52.0,0.0,top
R11,59.01,-53.99,0.0,top
R12,59.0,-64.28,0.0,top
R13,58.93,-57.92,0.0,top
R15,58.93,-59.91,0.0,top
R16,58.93,-61.9,0.0,top
R2,54.44,-46.31,0.0,bottom
R3,54.48,-47.42,0.0,bottom
R4,54.5,-48.47,0.0,bottom
R5,54.8,-34.6,0.0,top
R6,43.15,-50.55,0.0,bottom
R7,43.11,-49.33,0.0,bottom
R8,56.79,-34.59,180.0,top
R9,48.695,-52.05,0.0,bottom
S1,39.73,-60.54,90.0,bottom
U1,55.43,-62.56,90.0,top
U2,42.33,-33.56,0.0,top
U3,55.31,-32.8575,90.0,top
U4,42.83,-60.16,0.0,top
U5,50.54,-60.26,270.0,top
